"club","in_degree","out_degree","in_strength","out_strength","betweenness","in_coreness","out_coreness","country_now","season_now","p_mid","rk_mid","g_diff_mid","pts_mid","p_final","rk_final","g_diff_final","pts_final","country_before","season_before","p","rk","g_diff","pts"
"Bari",8,5,2500008,5,1267,1,2,"Italy",2000,17,18,-14,12,34,18,-37,20,"Italy",1999,34,14,-14,39
"Bay. Leverkusen",7,5,8850007,18800005,18843,1,1,"Germany",2000,17,2,9,31,34,4,14,57,"Germany",1999,34,2,38,73
"Bologna",16,4,8480016,4,23053.8666666667,2,2,"Italy",2000,17,10,-1,24,34,10,-4,43,"Italy",1999,34,11,-7,40
"Bor. Dortmund",5,1,12025005,1800001,291,2,1,"Germany",2000,17,4,3,30,34,3,20,58,"Germany",1999,34,11,3,40
"Bradford",9,4,5850009,1575004,7030,1,2,"England",2000,19,20,-20,12,38,20,-40,26,"England",1999,38,17,-30,36
"CD Numancia",5,1,5,1,6469,1,1,"Spain",2000,19,17,-10,19,38,20,-24,39,"Spain",1999,38,16,-12,45
"Celta de Vigo",8,5,34120008,14000005,2602.13333333333,1,2,"Spain",2000,19,16,-8,20,38,6,2,59,"Spain",1999,38,7,2,53
"Chelsea",9,5,38640009,31400005,4028,2,1,"England",2000,19,10,10,26,38,6,23,61,"England",1999,38,5,19,65
"Coventry",5,2,15250005,22500002,838,2,2,"England",2000,19,18,-17,16,38,19,-27,34,"England",1999,38,14,-7,44
"CS Sedan",4,1,4,2800001,1703,2,1,"France",2000,17,3,7,29,34,5,7,52,"France",1999,34,7,-1,48
"Dep. La Coruña",7,9,50850007,45900009,8639,1,2,"Spain",2000,19,2,16,37,38,2,29,73,"Spain",1999,38,1,22,69
"Derby",8,3,11125008,6350003,1298,1,1,"England",2000,19,16,-12,19,38,17,-22,42,"England",1999,38,16,-13,38
"E. Frankfurt",9,2,9,2,14,0,0,"Germany",2000,17,14,-7,20,34,17,-27,35,"Germany",1999,34,14,-2,39
"Espanyol",5,2,200005,2,1705.84615384615,1,2,"Spain",2000,19,13,-2,24,38,9,2,50,"Spain",1999,38,13,3,47
"Everton",12,6,34430012,37050006,1635,2,2,"England",2000,19,14,-10,22,38,16,-14,42,"England",1999,38,13,10,50
"FC Bayern",5,2,10000005,75002,820,1,1,"Germany",2000,17,3,15,30,34,1,25,63,"Germany",1999,34,1,45,73
"FC Metz",5,3,5,3,572,0,1,"France",2000,17,14,-7,20,34,12,-9,42,"France",1999,34,11,5,44
"FC Nantes",4,4,5000004,3600004,314,1,1,"France",2000,17,5,6,27,34,1,22,68,"France",1999,34,12,-1,43
"FC Schalke 04",5,1,1750005,100001,432,0,1,"Germany",2000,17,1,18,33,34,2,30,62,"Germany",1999,34,13,-2,39
"Fiorentina",6,2,17750006,4100002,13322,2,1,"Italy",2000,17,6,6,25,34,9,1,43,"Italy",1999,34,7,10,51
"G. Bordeaux",5,7,21660005,25100007,3325,1,2,"France",2000,17,1,11,30,34,4,15,57,"France",1999,34,4,12,54
"Hamburger SV",12,5,9600012,5625005,5167,1,1,"Germany",2000,17,10,2,21,34,13,0,41,"Germany",1999,34,3,24,59
"Hansa Rostock",3,1,1250003,100001,4,1,1,"Germany",2000,17,13,-9,21,34,12,-13,43,"Germany",1999,34,15,-16,38
"Hellas Verona",8,6,8870008,700006,2098.41538461538,2,2,"Italy",2000,17,16,-11,15,34,15,-19,37,"Italy",1999,34,9,-5,43
"Hertha BSC",8,3,8,750003,13442,1,1,"Germany",2000,17,5,5,28,34,5,6,56,"Germany",1999,34,6,-7,50
"Inter",13,9,55750013,21900009,18230.9335164835,2,2,"Italy",2000,17,9,1,24,34,5,0,51,"Italy",1999,34,4,22,58
"Juventus",9,4,31740009,15780004,1481,2,2,"Italy",2000,17,2,14,33,34,2,34,73,"Italy",1999,34,2,26,71
"Lazio",14,8,97710014,44200008,5320.53516483517,2,2,"Italy",2000,17,3,13,33,34,3,29,69,"Italy",1999,34,1,31,72
"Lecce",9,4,171009,7250004,14122.9095238095,2,2,"Italy",2000,17,12,-6,21,34,13,-14,37,"Italy",1999,34,13,-16,40
"Leeds",7,3,27155007,7500003,282,1,2,"England",2000,19,8,1,28,38,4,21,68,"England",1999,38,3,15,69
"Leicester",10,6,10375010,1075006,8684,1,2,"England",2000,19,3,7,35,38,13,-12,48,"England",1999,38,8,0,55
"Lens",8,7,11400008,21300007,1050,1,2,"France",2000,17,9,3,24,34,14,-2,40,"France",1999,34,5,1,49
"Liverpool",11,3,23250011,11630003,1599,2,2,"England",2000,19,4,13,33,38,3,32,69,"England",1999,38,4,21,67
"Málaga CF",5,2,4800005,14420002,841,2,2,"Spain",2000,19,8,1,27,38,8,-1,56,"Spain",1999,38,12,5,48
"Man Utd",2,4,11700002,5630004,843,1,2,"England",2000,19,1,32,43,38,1,48,80,"England",1999,38,1,52,91
"Marseille",7,7,1550007,31050007,722.466666666667,0,2,"France",2000,17,16,-6,18,34,15,-9,40,"France",1999,34,15,0,42
"Middlesbrough",10,3,44100010,9000003,6942,2,2,"England",2000,19,19,-8,15,38,14,0,42,"England",1999,38,12,-6,52
"Monaco",6,6,30500006,50490006,2683,2,2,"France",2000,17,11,1,22,34,11,3,43,"France",1999,34,1,31,65
"Newcastle",10,8,19550010,18900008,8454,2,2,"England",2000,19,9,-4,27,38,11,-6,51,"England",1999,38,11,9,52
"Olympique Lyon",9,4,28000009,5630004,10740,2,2,"France",2000,17,7,9,26,34,2,27,64,"France",1999,34,3,3,56
"Paris SG",10,3,53950010,3,11484.8461538462,2,2,"France",2000,17,8,4,25,34,9,-1,44,"France",1999,34,2,14,58
"Parma",7,7,86550007,65225007,13711.4461538462,2,2,"Italy",2000,17,11,2,23,34,4,20,56,"Italy",1999,34,5,15,58
"Perugia",7,3,4500007,3,2005.23846153846,2,2,"Italy",2000,17,8,3,25,34,11,-4,42,"Italy",1999,34,10,-16,42
"R. Strasbourg",9,3,2700009,1200003,3734,1,1,"France",2000,17,17,-22,15,34,18,-33,29,"France",1999,34,9,-10,46
"Racing",8,2,1500008,13200002,1202,2,1,"Spain",2000,19,19,-13,14,38,19,-14,39,"Spain",1999,38,15,2,46
"Rayo Vallecano",2,3,2000002,6600003,157,0,2,"Spain",2000,19,6,10,29,38,12,-12,43,"Spain",1999,38,9,-2,52
"RCD Mallorca",4,3,5400004,28450003,772,1,2,"Spain",2000,19,5,3,31,38,3,18,71,"Spain",1999,38,10,7,51
"Real Madrid",9,7,121950009,48050007,8260.8,2,2,"Spain",2000,19,1,25,42,38,1,41,80,"Spain",1999,38,5,10,62
"Real Oviedo",6,1,210006,1,1017,0,1,"Spain",2000,19,14,-10,24,38,18,-16,41,"Spain",1999,38,17,-16,45
"Real Sociedad",6,4,9980006,4,864,0,1,"Spain",2000,19,20,-22,14,38,13,-16,43,"Spain",1999,38,14,-7,47
"Real Valladolid",8,2,2100008,15250002,1094,2,2,"Spain",2000,19,15,-3,22,38,16,-8,42,"Spain",1999,38,8,-8,53
"Real Zaragoza",4,1,4400004,25000001,144,0,1,"Spain",2000,19,12,1,24,38,15,-3,42,"Spain",1999,38,4,20,63
"Reggina",10,7,2750010,7500007,19927.1064102564,2,2,"Italy",2000,17,17,-18,13,34,14,-17,37,"Italy",1999,34,12,-11,40
"Saint-Étienne",8,2,5550008,200002,996,2,1,"France",2000,17,13,-1,21,34,16,-13,37,"France",1999,34,6,-1,48
"SC Bastia",6,1,1500006,1,1911.66666666667,2,1,"France",2000,17,6,3,27,34,8,4,45,"France",1999,34,10,4,45
"SC Freiburg",4,0,300004,0,0,1,0,"Germany",2000,17,9,4,23,34,6,17,55,"Germany",1999,34,12,-5,40
"Southampton",1,2,1,2,2,0,0,"England",2000,19,15,-8,21,38,10,-8,52,"England",1999,38,15,-17,44
"Spurs",4,1,25540004,1,355,2,0,"England",2000,19,12,-1,26,38,12,-7,49,"England",1999,38,10,8,53
"Stade Rennais",8,6,36000008,20000006,3539,1,2,"France",2000,17,15,-2,19,34,6,9,50,"France",1999,34,13,-4,43
"Sunderland",9,8,23475009,1800008,3274,2,1,"England",2000,19,6,1,32,38,7,5,57,"England",1999,38,7,1,58
"Troyes",7,0,1220007,0,0,1,0,"France",2000,17,10,-4,23,34,7,-2,46,"France",1999,34,14,-16,43
"Udinese Calcio",10,6,500010,6,8855.29743589744,2,2,"Italy",2000,17,7,3,25,34,12,-10,38,"Italy",1999,34,8,10,50
"Unterhaching",7,2,1245007,250002,21258,1,1,"Germany",2000,17,15,-10,18,34,16,-24,35,"Germany",1999,34,10,-2,44
"Valencia",8,3,38950008,60850003,286,2,2,"Spain",2000,19,4,16,35,38,5,21,63,"Spain",1999,38,3,20,64
"VfB Stuttgart",9,1,1600009,750001,715,1,1,"Germany",2000,17,17,-5,17,34,15,-7,38,"Germany",1999,34,8,-3,48
"VfL Wolfsburg",6,1,220006,50001,1547,1,1,"Germany",2000,17,8,10,24,34,9,15,47,"Germany",1999,34,7,-7,49
"Werder Bremen",6,0,4150006,0,0,1,0,"Germany",2000,17,11,-4,21,34,7,5,53,"Germany",1999,34,9,13,47
"West Ham",9,10,5630009,14600010,21415,2,2,"England",2000,19,11,4,26,38,15,-5,42,"England",1999,38,9,-1,55
"1. FC Köln",3,0,4500003,0,0,1,0,"Germany",2001,17,16,-17,13,34,17,-35,29,"Germany",2000,34,10,7,46
"1.FC K'lautern",9,3,9200009,3550003,10852.3333333333,2,1,"Germany",2001,17,3,15,35,34,7,9,56,"Germany",2000,34,8,-5,50
"1860 Munich",5,2,3000005,1100002,8934,1,1,"Germany",2001,17,9,-6,24,34,9,0,50,"Germany",2000,34,11,-12,44
"AC Milan",12,13,141510012,31000013,15620.8404761905,2,3,"Italy",2001,17,5,8,30,34,4,14,55,"Italy",2000,34,6,10,49
"AJ Auxerre",7,3,2000007,3,940.777777777778,1,2,"France",2001,17,3,8,32,34,3,10,59,"France",2000,34,13,-10,41
"Alavés",3,3,750003,23000003,153,1,3,"Spain",2001,19,8,5,30,38,7,-3,54,"Spain",2000,38,10,-1,49
"Arsenal",10,4,22850010,5000004,750,2,1,"England",2001,19,2,16,36,38,1,43,87,"England",2000,38,2,25,70
"AS Roma",12,5,52030012,53460005,946,2,3,"Italy",2001,17,1,16,36,34,2,34,70,"Italy",2000,34,1,35,75
"Aston Villa",5,5,18600005,16800005,2491.72727272727,1,1,"England",2001,19,8,1,27,38,8,-1,50,"England",2000,38,8,3,54
"Atalanta BC",7,7,11800007,29000007,684.5,2,3,"Italy",2001,17,11,-7,21,34,9,-9,45,"Italy",2000,34,7,4,44
"Athletic",1,0,1,0,0,0,0,"Spain",2001,19,5,2,31,38,10,-12,53,"Spain",2000,38,14,-16,43
"Barcelona",8,5,71900008,24400005,869,2,1,"Spain",2001,19,7,10,30,38,4,28,64,"Spain",2000,38,4,23,63
"Bay. Leverkusen",10,4,12000010,8750004,10107,1,1,"Germany",2001,17,1,22,39,34,2,39,69,"Germany",2000,34,4,14,57
"Bologna",3,5,6000003,5,13502.396969697,1,3,"Italy",2001,17,6,-1,27,34,7,0,52,"Italy",2000,34,10,-4,43
"Bor. Dortmund",7,3,46400007,15650003,2741,2,1,"Germany",2001,17,2,18,38,34,1,29,70,"Germany",2000,34,3,20,58
"Brescia",13,6,11974013,6,11493.5,2,3,"Italy",2001,17,13,-10,18,34,13,-9,40,"Italy",2000,34,8,2,44
"CA Osasuna",7,2,2500007,450002,6765.75,2,1,"Spain",2001,19,16,-7,22,38,17,-13,42,"Spain",2000,38,17,-11,42
"Celta de Vigo",4,5,3800004,5,7647.94696969697,2,1,"Spain",2001,19,4,14,32,38,5,18,60,"Spain",2000,38,6,2,59
"Charlton",5,3,13500005,1375003,15596,1,1,"England",2001,19,12,-1,23,38,14,-11,44,"England",2000,38,9,-7,52
"Chelsea",9,5,49700009,10870005,13908,2,1,"England",2001,19,6,14,30,38,6,28,64,"England",2000,38,6,23,61
"CS Sedan",10,0,10,0,0,2,0,"France",2001,17,16,-2,16,34,14,-4,39,"France",2000,34,5,7,52
"Dep. La Coruña",7,4,30800007,4,3483.5,2,2,"Spain",2001,19,2,8,33,38,2,24,68,"Spain",2000,38,2,29,73
"Derby",7,6,7,29000006,3270.85714285714,2,1,"England",2001,19,18,-21,16,38,19,-30,30,"England",2000,38,17,-22,42
"Energie Cottbus",8,0,2705008,0,0,0,0,"Germany",2001,17,15,-15,14,34,13,-24,35,"Germany",2000,34,14,-14,39
"Espanyol",5,2,5,17970002,746,1,1,"Spain",2001,19,13,-7,24,38,14,-9,47,"Spain",2000,38,9,2,50
"Everton",4,2,6750004,2,1351,1,1,"England",2001,19,13,-2,23,38,15,-12,43,"England",2000,38,16,-14,42
"FC Bayern",6,2,20540006,8750002,8676,1,1,"Germany",2001,17,4,23,33,34,3,40,68,"Germany",2000,34,1,25,63
"FC Metz",8,3,8,3,1588.98333333333,1,1,"France",2001,17,15,-9,17,34,17,-16,33,"France",2000,34,12,-9,42
"FC Nantes",7,7,7,27000007,383.811965811966,2,3,"France",2001,17,18,-12,13,34,10,-6,43,"France",2000,34,1,22,68
"FC Schalke 04",7,2,10075007,500002,721,1,1,"Germany",2001,17,7,0,26,34,5,16,61,"Germany",2000,34,2,30,62
"Fiorentina",7,6,5340007,84320006,3886.5,2,2,"Italy",2001,17,17,-17,14,34,17,-34,22,"Italy",2000,34,9,1,43
"G. Bordeaux",7,9,7280007,16500009,872.1,1,2,"France",2001,17,6,5,27,34,6,3,50,"France",2000,34,4,15,57
"Guingamp",3,2,3,2,244.833333333333,1,1,"France",2001,17,11,-11,20,34,16,-23,35,"France",2000,34,10,-8,44
"Hamburger SV",7,5,7700007,6100005,12156,1,1,"Germany",2001,17,13,-7,17,34,11,-6,40,"Germany",2000,34,13,0,41
"Hansa Rostock",9,4,3525009,5100004,5615,1,1,"Germany",2001,17,11,-6,19,34,14,-19,34,"Germany",2000,34,12,-13,43
"Hellas Verona",6,2,1500006,2,2947.35303030303,2,2,"Italy",2001,17,8,-1,25,34,15,-12,39,"Italy",2000,34,15,-19,37
"Hertha BSC",9,4,15950009,1625004,9977,1,1,"Germany",2001,17,6,7,31,34,4,23,61,"Germany",2000,34,5,6,56
"Inter",14,12,98190014,51540012,8182.46861471862,2,3,"Italy",2001,17,2,15,35,34,3,27,69,"Italy",2000,34,5,0,51
"Ipswich",11,3,13550011,13500003,1243,2,1,"England",2001,19,19,-9,15,38,18,-23,36,"England",2000,38,5,15,66
"Juventus",14,7,205030014,153950007,14441.2636363636,2,3,"Italy",2001,17,4,17,31,34,1,41,71,"Italy",2000,34,2,34,73
"Lazio",12,7,178000012,137600007,3228.96666666667,2,3,"Italy",2001,17,7,7,25,34,6,13,53,"Italy",2000,34,3,29,69
"Lecce",8,1,12650008,1,353,1,0,"Italy",2001,17,16,-7,17,34,16,-20,28,"Italy",2000,34,13,-14,37
"Leeds",6,3,41000006,4575003,811.581818181818,2,1,"England",2001,19,4,12,35,38,5,16,66,"England",2000,38,4,21,68
"Leicester",9,0,12750009,0,0,2,0,"England",2001,19,20,-22,15,38,20,-34,28,"England",2000,38,13,-12,48
"Lens",15,12,6090015,12,13176.7575757576,2,3,"France",2001,17,1,17,35,34,2,25,64,"France",2000,34,14,-2,40
"Liverpool",3,3,21960003,6500003,151,1,2,"England",2001,19,3,8,36,38,2,37,80,"England",2000,38,3,32,69
"LOSC Lille",7,1,1800007,1,3041.22222222222,2,1,"France",2001,17,4,6,30,34,5,7,56,"France",2000,34,3,16,59
"Málaga CF",6,3,5850006,22750003,1243.5,2,2,"Spain",2001,19,12,-2,24,38,9,0,53,"Spain",2000,38,8,-1,56
"Man Utd",7,5,74100007,56800005,1242,1,2,"England",2001,19,5,17,33,38,3,42,77,"England",2000,38,1,48,80
"Marseille",23,12,23000023,19800012,26564.996969697,2,3,"France",2001,17,10,1,22,34,9,-5,44,"France",2000,34,15,-9,40
"Middlesbrough",12,6,22700012,6,4776,2,2,"England",2001,19,15,-8,22,38,12,-12,45,"England",2000,38,14,0,42
"Monaco",10,9,24210010,36210009,7246.49393939392,2,3,"France",2001,17,14,-4,17,34,15,-5,39,"France",2000,34,11,3,43
"Newcastle",9,2,39160009,2,6600.80952380952,1,1,"England",2001,19,1,14,39,38,4,22,71,"England",2000,38,11,-6,51
"Olympique Lyon",7,6,54000007,41800006,502,2,1,"France",2001,17,2,16,33,34,1,30,66,"France",2000,34,2,27,64
"Paris SG",12,13,19500012,30160013,1854.63333333333,1,1,"France",2001,17,5,7,27,34,4,19,58,"France",2000,34,9,-1,44
"Parma",14,13,79510014,137010013,4494.5196969697,2,3,"Italy",2001,17,15,-6,17,34,10,-4,44,"Italy",2000,34,4,20,56
"Perugia",17,7,9960017,39000007,19210.6404761905,2,3,"Italy",2001,17,9,-1,22,34,8,-8,46,"Italy",2000,34,11,-4,42
"Rayo Vallecano",5,2,1000005,2,451,2,2,"Spain",2001,19,20,-12,16,38,11,-6,49,"Spain",2000,38,12,-12,43
"RCD Mallorca",6,1,7140006,4200001,157,1,1,"Spain",2001,19,18,-7,20,38,16,-12,43,"Spain",2000,38,3,18,71
"Real Madrid",3,3,77500003,3,1061.5,2,2,"Spain",2001,19,1,14,35,38,3,25,66,"Spain",2000,38,1,41,80
"Real Sociedad",5,1,5,1,3,1,1,"Spain",2001,19,19,-4,19,38,13,-6,47,"Spain",2000,38,13,-16,43
"Real Valladolid",7,2,7,3500002,2457.5,2,1,"Spain",2001,19,10,-13,25,38,12,-13,48,"Spain",2000,38,16,-8,42
"Real Zaragoza",7,2,24850007,2,4435.33333333333,1,1,"Spain",2001,19,14,-9,23,38,20,-19,37,"Spain",2000,38,15,-3,42
"SC Bastia",12,11,370012,17000011,13408.4739316239,2,3,"France",2001,17,13,-10,19,34,11,-6,41,"France",2000,34,8,4,45
"SC Freiburg",6,1,6,1,5081,1,1,"Germany",2001,17,12,-7,18,34,16,-27,30,"Germany",2000,34,6,17,55
"Southampton",8,4,9150008,26600004,3807.72727272727,1,1,"England",2001,19,16,-9,22,38,11,-8,45,"England",2000,38,10,-8,52
"Spurs",4,4,36800004,9750004,487,1,1,"England",2001,19,7,4,27,38,9,-4,50,"England",2000,38,12,-7,49
"Stade Rennais",8,6,3000008,5340006,3534,2,3,"France",2001,17,12,-9,19,34,12,-11,41,"France",2000,34,6,9,50
"Sunderland",7,5,19050007,17765005,992,1,1,"England",2001,19,9,0,26,38,17,-22,40,"England",2000,38,7,5,57
"Troyes",7,2,7,2,370.4,1,0,"France",2001,17,8,1,25,34,7,5,47,"France",2000,34,7,-2,46
"UD Las Palmas",3,3,3,6000003,157,1,2,"Spain",2001,19,11,4,24,38,18,-10,40,"Spain",2000,38,11,-20,46
"Udinese Calcio",15,10,3700015,37140010,5790.30714285714,1,3,"Italy",2001,17,10,-4,21,34,14,-11,40,"Italy",2000,34,12,-10,38
"Valencia",9,3,33550009,52000003,190.166666666667,2,2,"Spain",2001,19,3,7,33,38,1,24,75,"Spain",2000,38,5,21,63
"VfB Stuttgart",4,6,550004,1875006,9062,1,1,"Germany",2001,17,8,2,24,34,8,4,50,"Germany",2000,34,15,-7,38
"VfL Wolfsburg",12,3,10150012,8250003,6480,1,1,"Germany",2001,17,10,4,22,34,10,8,46,"Germany",2000,34,9,15,47
"Villarreal",3,1,6070003,4200001,891,1,1,"Spain",2001,19,15,-3,22,38,15,-9,43,"Spain",2000,38,7,6,57
"Werder Bremen",9,2,4225009,7540002,808,1,1,"Germany",2001,17,5,11,33,34,6,11,56,"Germany",2000,34,7,5,53
"West Ham",6,1,36300006,16000001,0,2,1,"England",2001,19,11,-6,24,38,7,-9,53,"England",2000,38,15,-5,42
"1.FC K'lautern",4,2,3500004,2,9119,1,1,"Germany",2002,17,17,-11,13,34,14,-2,40,"Germany",2001,34,7,9,56
"1.FC Nuremberg",7,1,200007,1,740,1,1,"Germany",2002,17,12,-4,21,34,17,-27,30,"Germany",2001,34,15,-23,34
"1860 Munich",6,2,925006,4200002,751,0,1,"Germany",2002,17,6,1,25,34,10,-8,45,"Germany",2001,34,9,0,50
"AC Milan",11,11,71100011,41600011,12640.1190476191,3,3,"Italy",2002,17,1,23,39,34,3,25,61,"Italy",2001,34,4,14,55
"AJ Auxerre",6,4,6,4,3103.71582633053,1,1,"France",2002,19,5,4,32,38,6,9,64,"France",2001,34,3,10,59
"Alavés",6,1,4400006,1,356,1,0,"Spain",2002,19,11,-5,24,38,19,-30,35,"Spain",2001,38,7,-3,54
"Arsenal",4,3,12830004,5500003,444,1,1,"England",2002,19,1,19,39,38,2,43,78,"England",2001,38,1,43,87
"AS Roma",6,2,9810006,6000002,12713.4823676324,2,1,"Italy",2002,17,9,3,23,34,8,9,49,"Italy",2001,34,2,34,70
"Aston Villa",8,4,10230008,13800004,1302.25,1,1,"England",2002,19,15,-3,22,38,16,-5,45,"England",2001,38,8,-1,50
"Atalanta BC",4,2,4,1000002,168.666666666667,1,1,"Italy",2002,17,14,-12,14,34,13,-12,38,"Italy",2001,34,9,-9,45
"Athletic",3,0,3,0,0,1,0,"Spain",2002,19,16,-8,22,38,7,2,55,"Spain",2001,38,10,-12,53
"Barcelona",7,6,19000007,3650006,444,1,1,"Spain",2002,19,12,2,23,38,6,16,56,"Spain",2001,38,4,28,64
"Bay. Leverkusen",6,6,26900006,15950006,2187,1,1,"Germany",2002,17,14,-3,20,34,15,-9,40,"Germany",2001,34,2,39,69
"Blackburn",14,1,7250014,1,211.6,1,0,"England",2002,19,9,3,27,38,6,9,60,"England",2001,38,10,4,46
"Bologna",6,6,6,500006,1048.46327006327,3,2,"Italy",2002,17,6,5,27,34,11,-8,41,"Italy",2001,34,7,0,52
"Bolton",12,3,12,3,9226.50910706938,2,1,"England",2002,19,19,-14,15,38,17,-10,44,"England",2001,38,16,-18,40
"Bor. Dortmund",4,2,10150004,500002,1259,1,1,"Germany",2002,17,2,15,33,34,3,24,58,"Germany",2001,34,1,29,70
"Bor. M'gladbach",6,2,3450006,600002,8786,1,1,"Germany",2002,17,15,1,19,34,12,-2,42,"Germany",2001,34,12,-12,39
"Brescia",13,6,4550013,6,14049.0752247752,3,3,"Italy",2002,17,13,-7,18,34,9,-2,42,"Italy",2001,34,13,-9,40
"CA Osasuna",4,1,4,1,833.000000000001,2,1,"Spain",2002,19,13,-3,23,38,12,-8,47,"Spain",2001,38,17,-13,42
"Celta de Vigo",6,6,11500006,50006,1281.80952380952,1,1,"Spain",2002,19,6,4,30,38,4,9,61,"Spain",2001,38,5,18,60
"Charlton",5,5,5550005,3800005,645.916666666667,1,1,"England",2002,19,11,-2,25,38,12,-11,49,"England",2001,38,14,-11,44
"Chelsea",2,2,2,1600002,7242.83333333333,1,1,"England",2002,19,2,19,37,38,4,30,67,"England",2001,38,6,28,64
"Chievo Verona",15,4,550015,4000004,5055.4619047619,3,2,"Italy",2002,17,5,11,32,34,7,12,55,"Italy",2001,34,5,5,54
"CS Sedan",8,1,8,7500001,444,2,1,"France",2002,19,14,-5,22,38,19,-18,36,"France",2001,34,14,-4,39
"Dep. La Coruña",4,6,39000004,6900006,587,1,1,"Spain",2002,19,5,3,32,38,3,20,72,"Spain",2001,38,2,24,68
"Energie Cottbus",7,0,650007,0,0,1,0,"Germany",2002,17,18,-25,10,34,18,-30,30,"Germany",2001,34,13,-24,35
"Espanyol",10,2,9950010,2,1778.07142857143,3,1,"Spain",2002,19,18,-7,20,38,17,-6,43,"Spain",2001,38,14,-9,47
"Everton",9,6,9000009,6,11205.1233965381,2,2,"England",2002,19,5,1,33,38,7,-1,59,"England",2001,38,15,-12,43
"FC Bayern",5,2,24500005,2500002,296,1,1,"Germany",2002,17,1,22,39,34,1,45,75,"Germany",2001,34,3,40,68
"FC Nantes",8,5,5500008,2000005,2773.40476190476,2,2,"France",2002,19,9,1,28,38,9,-2,56,"France",2001,34,10,-6,43
"FC Schalke 04",8,3,19250008,150003,696,1,1,"Germany",2002,17,4,7,28,34,7,6,49,"Germany",2001,34,5,16,61
"FC Sochaux",10,1,10,1,2599.47142857143,1,1,"France",2002,19,7,6,30,38,5,15,64,"France",2001,34,8,1,46
"Fulham",5,2,3000005,750002,3631.10702630703,3,1,"England",2002,19,14,-3,22,38,14,-9,48,"England",2001,38,13,-8,44
"G. Bordeaux",9,8,10500009,9000008,10408.5142440892,2,2,"France",2002,19,11,4,26,38,4,21,64,"France",2001,34,6,3,50
"Guingamp",7,2,7,2,1906.95952380953,1,1,"France",2002,19,6,5,31,38,7,13,62,"France",2001,34,16,-23,35
"Hamburger SV",6,2,4000006,250002,8293,1,1,"Germany",2002,17,7,-2,25,34,4,10,56,"Germany",2001,34,11,-6,40
"Hansa Rostock",11,3,2725011,3,902,1,1,"Germany",2002,17,13,0,20,34,13,-6,41,"Germany",2001,34,14,-19,34
"Hertha BSC",7,4,2550007,9400004,8044.33333333333,1,1,"Germany",2002,17,9,0,23,34,5,9,54,"Germany",2001,34,4,23,61
"Inter",12,9,111600012,107000009,5593.62424242424,3,3,"Italy",2002,17,3,14,36,34,2,26,65,"Italy",2001,34,3,27,69
"Juventus",7,6,40200007,8400006,444,3,2,"Italy",2002,17,4,19,35,34,1,35,72,"Italy",2001,34,1,41,71
"Lazio",4,4,21500004,80000004,489,3,2,"Italy",2002,17,2,17,36,34,4,25,60,"Italy",2001,34,6,13,53
"Leeds",6,4,4500006,67000004,2021.44988344988,1,1,"England",2002,19,16,-2,21,38,15,1,47,"England",2001,38,5,16,66
"Lens",9,5,5500009,18750005,4516.93333333333,2,2,"France",2002,19,8,2,28,38,8,12,57,"France",2001,34,2,25,64
"Liverpool",12,6,29000012,9300006,11430.7010086319,2,2,"England",2002,19,6,9,32,38,5,20,64,"England",2001,38,2,37,80
"LOSC Lille",11,7,3800011,13830007,1371,2,2,"France",2002,19,13,-5,25,38,14,-15,42,"France",2001,34,5,7,56
"Málaga CF",2,1,2,1,1332.33220945721,1,1,"Spain",2002,19,9,-1,24,38,14,-5,46,"Spain",2001,38,9,0,53
"Man Utd",6,3,48230006,3500003,2885.10702630703,1,1,"England",2002,19,3,12,35,38,1,40,83,"England",2001,38,3,42,77
"Marseille",15,8,5000015,7300008,9614.6363891011,2,2,"France",2002,19,1,2,34,38,3,5,65,"France",2001,34,9,-5,44
"Middlesbrough",12,1,33500012,1,1397.98441558442,2,1,"England",2002,19,10,4,26,38,11,4,49,"England",2001,38,12,-12,45
"Monaco",11,5,6100011,10110005,18819.5310689311,2,2,"France",2002,19,3,12,32,38,2,33,67,"France",2001,34,15,-5,39
"Montpellier",6,2,6,2,250.5,0,1,"France",2002,19,20,-10,16,38,16,-17,40,"France",2001,34,13,-3,40
"Newcastle",4,1,19550004,1,615.040476190475,1,1,"England",2002,19,4,6,35,38,3,15,69,"England",2001,38,4,22,71
"Olympique Lyon",6,1,3900006,700001,296,2,1,"France",2002,19,4,11,32,38,1,22,68,"France",2001,34,1,30,66
"Paris SG",12,9,12750012,32250009,11915.1204504646,2,2,"France",2002,19,10,8,27,38,11,11,54,"France",2001,34,4,19,58
"Parma",15,15,48500015,77650015,19736.6475524476,3,3,"Italy",2002,17,7,10,26,34,5,19,56,"Italy",2001,34,10,-4,44
"Perugia",10,4,10,17700004,13331.249034299,3,2,"Italy",2002,17,11,-2,22,34,10,-8,42,"Italy",2001,34,8,-8,46
"Piacenza",11,2,3700011,150002,1077,3,1,"Italy",2002,17,15,-12,13,34,16,-18,30,"Italy",2001,34,12,6,42
"Rayo Vallecano",7,1,750007,1,3013.93896103896,1,1,"Spain",2002,19,19,-9,18,38,20,-31,32,"Spain",2001,38,11,-6,49
"RCD Mallorca",8,1,400008,15000001,634,1,1,"Spain",2002,19,7,-8,27,38,9,-7,52,"Spain",2001,38,16,-12,43
